0,0,180,100,220,140,40,40,68,74,82
0,1,180,140,220,180,40,40,29,36,47
0,2,180,180,220,220,40,40,48,58,71
0,3,180,220,220,260,40,40,52,64,81
0,4,180,260,220,300,40,40,57,71,91
0,5,180,300,220,340,40,40,64,82,105
0,6,180,340,220,380,40,40,134,149,165
1,0,220,100,260,140,40,40,135,137,140
1,1,220,140,260,180,40,40,86,91,99
1,2,220,180,260,220,40,40,30,38,50
1,3,220,220,260,260,40,40,50,61,74
1,4,220,260,260,300,40,40,61,72,90
1,5,220,300,260,340,40,40,63,78,100
1,6,220,340,260,380,40,40,66,84,106
2,0,260,100,300,140,40,40,134,134,137
2,1,260,140,300,180,40,40,137,139,145
2,2,260,180,300,220,40,40,75,76,85
2,3,260,220,300,260,40,40,46,48,58
2,4,260,260,300,300,40,40,53,54,64
2,5,260,300,300,340,40,40,51,54,67
2,6,260,340,300,380,40,40,87,90,104
3,0,300,100,340,140,40,40,143,142,140
3,1,300,140,340,180,40,40,115,114,119
3,2,300,180,340,220,40,40,54,49,54
3,3,300,220,340,260,40,40,40,35,41
3,4,300,260,340,300,40,40,31,29,35
3,5,300,300,340,340,40,40,51,41,48
3,6,300,340,340,380,40,40,93,77,87
4,0,340,100,380,140,40,40,104,103,108
4,1,340,140,380,180,40,40,74,74,77
4,2,340,180,380,220,40,40,39,34,36
4,3,340,220,380,260,40,40,37,32,34
4,4,340,260,380,300,40,40,69,54,59
4,5,340,300,380,340,40,40,62,47,53
4,6,340,340,380,380,40,40,93,68,71
5,0,380,100,420,140,40,40,99,100,101
5,1,380,140,420,180,40,40,155,155,151
5,2,380,180,420,220,40,40,54,47,47
5,3,380,220,420,260,40,40,71,56,56
5,4,380,260,420,300,40,40,107,80,77
5,5,380,300,420,340,40,40,98,74,72
5,6,380,340,420,380,40,40,106,77,80
6,0,420,100,460,140,40,40,193,156,150
6,1,420,140,460,180,40,40,196,175,166
6,2,420,180,460,220,40,40,112,100,93
6,3,420,220,460,260,40,40,69,59,58
6,4,420,260,460,300,40,40,92,67,62
6,5,420,300,460,340,40,40,80,60,58
6,6,420,340,460,380,40,40,108,85,85

